"Num_Acc","date","lat","long","categorie","v_max","plan","largeur_TPC","largeur_chaussée","etat_surface","Aménagement","Situation_accident","dep"
"202100042010","2021-04-28T00:00:00.000000","    46.31564","    -0.48134","Voie Communales","          50","Partie rectiligne","          63","          -1","Normale","Aucun","Sur chaussée","          79"
"202100043179","2021-04-20T00:00:00.000000","   45.668519","   -0.326346","Route Départementale","          50","Partie rectiligne","           0","          62","Normale","Aucun","Sur chaussée","          16"
"202100043385","2021-04-20T00:00:00.000000","   45.789223","    0.342231","Route Départementale","          50","En courbe à droite","           0","          39","Normale","Aucun","Sur accotement","          16"
"202100043780","2021-04-16T00:00:00.000000","    45.69496","    -0.34835","Voie Communales","          50","Partie rectiligne","           0","          36","Normale","Aucun","Sur chaussée","          16"
"202100044101","2021-04-15T00:00:00.000000","   45.712259","    0.176665","Route nationale","         110","En courbe à gauche","          25","          14","Normale","Aucun","Sur bande d’arrêt d’urgence","          16"
"202100044188","2021-04-13T00:00:00.000000","   45.940328","    0.113519","Voie Communales","          80","En courbe à gauche","           0","          36","Normale","Aucun","Sur chaussée","          16"
"202100044281","2021-04-09T00:00:00.000000","    45.69801","    -0.32773","Voie Communales","          50","En courbe à gauche","           0","          64","Normale","Aucun","Sur chaussée","          16"
"202100044407","2021-04-12T00:00:00.000000","   46.067913","     0.19998","Route Départementale","          80","Partie rectiligne","          16","          54","Normale","Aucun","Sur accotement","          16"
"202100044547","2021-04-08T00:00:00.000000","    46.33532","    -0.41014","Route Départementale","          90","Partie rectiligne","           4","          75","Normale","Aucun","Sur chaussée","          79"
"202100044630","2021-04-09T00:00:00.000000","   45.471722","   -0.154329","Voie Communales","          50","Partie rectiligne","           0","          24","Normale","Aucun","Sur chaussée","          16"
"202100044752","2021-04-09T00:00:00.000000","   46.071303","    0.671915","Route Départementale","          50","En courbe à gauche","           0","          54","Normale","Aucun","Sur chaussée","          16"
"202100044888","2021-04-08T00:00:00.000000","   45.996799","    0.254885","Route Départementale","          80","Partie rectiligne","           0","          42","Normale","Aucun","Sur chaussée","          16"
"202100045305","2021-04-03T00:00:00.000000","   45.794398","    0.191301","Route Départementale","          50","Partie rectiligne","           0","           6","Normale","Aucun","Sur chaussée","          16"
"201900054403","2019-05-01T00:00:00.000000","   45.408966","   -0.231146","Route Départementale","          80","En courbe à droite","           0","         5.2","Mouillée","Aucun","Sur chaussée","          16"
"202100045306","2021-04-04T00:00:00.000000","   45.958698","    0.554338","Voie Communales","          80","Partie rectiligne","           0","           3","Normale","Aucun","Sur chaussée","          16"
"202100045307","2021-04-03T00:00:00.000000","   45.392543","   -0.212302","Route Départementale","          90","Partie rectiligne","           0","          58","Normale","Aucun","Sur chaussée","          16"
"202100045689","2021-04-02T00:00:00.000000","   45.455568","   -0.148146","Voie Communales","          90","Partie rectiligne","           0","          39","Normale","Aucun","Sur accotement","          16"
